Student Number,Student Name,Module(s),Qualification,Year,Week,Day,Assessment(s),Marks Obtained,Attendance Rate,Canvas Activity Score,Reason for AR,Intervention,Risk Level,Resolved?,NQF Level
23121958,Student_0001,Module4,Programme2,Year1,Week4,Thu,,,0.95,0.77,None,None,Low,Yes,6
23671155,Student_0002,Module3,Programme2,Year1,Week5,Tue,Assignment2,39.0,0.73,0.6,Assessment Failure_007,Counselling,High,Yes,6
23131932,Student_0003,Module3,Programme2,Year1,Week4,Mon,Test2,59.7,0.74,0.98,None,None,Low,Yes,6
24414414,Student_0004,Module2,Programme1,Year3,Week11,Fri,,,0.65,1.0,Class Attendance_007,Mentorship,Medium,No,5
23259178,Student_0005,Module1,Programme1,Year2,Week12,Wed,Test2,22.5,0.89,0.82,Assessment Failure_007,Counselling,High,No,5
24692743,Student_0006,Module5,Programme3,Year1,Week3,Mon,Test2,90.8,0.94,0.62,None,None,Low,No,7
23110268,Student_0007,Module4,Programme2,Year1,Week8,Fri,Assignment1,74.7,0.89,0.5,Canvas Activity_007,Mentorship,Medium,No,6
23732180,Student_0008,Module5,Programme3,Year1,Week10,Fri,,,1.0,0.83,None,None,Low,Yes,7
24103462,Student_0009,Module5,Programme3,Year1,Week4,Thu,,,0.82,0.98,None,None,Low,No,7
23137337,Student_0010,Module3,Programme2,Year1,Week2,Thu,Assignment1,37.1,0.92,0.87,Assessment Failure_007,Escalation,High,No,6
23999890,Student_0011,Module4,Programme2,Year1,Week2,Thu,,,0.66,0.78,Class Attendance_007,Escalation,High,No,6
24570006,Student_0012,Module5,Programme3,Year1,Week1,Mon,Assignment2,77.2,0.76,0.67,None,None,Low,No,7
24136074,Student_0013,Module4,Programme2,Year1,Week4,Mon,Test1,43.1,0.92,0.58,Assessment Failure_007,Tutoring,High,No,6
24947735,Student_0014,Module2,Programme1,Year3,Week10,Wed,,,0.95,0.93,None,None,Low,Yes,5
23912756,Student_0015,Module3,Programme2,Year1,Week9,Thu,,,0.78,0.94,None,None,Low,Yes,6
23175203,Student_0016,Module1,Programme1,Year2,Week11,Fri,,,0.81,0.5,Canvas Activity_007,Tutoring,Medium,No,5
24239911,Student_0017,Module5,Programme3,Year1,Week7,Tue,Test2,64.4,0.59,1.0,Class Attendance_007,Email Reminder,Medium,No,7
23278167,Student_0018,Module4,Programme2,Year1,Week12,Wed,,,0.77,0.88,None,None,Low,Yes,6
23041090,Student_0019,Module2,Programme1,Year3,Week10,Mon,,,0.95,1.0,None,None,Low,Yes,5
23329365,Student_0020,Module4,Programme2,Year1,Week7,Wed,,,0.91,0.54,Canvas Activity_007,Mentorship,Medium,Yes,6
24113396,Student_0021,Module4,Programme2,Year1,Week7,Wed,Assignment1,83.5,0.9,0.53,Canvas Activity_007,Mentorship,Medium,No,6
23787201,Student_0022,Module3,Programme2,Year1,Week8,Wed,,,0.83,0.75,None,None,Low,Yes,6
24370455,Student_0023,Module1,Programme1,Year2,Week1,Wed,,,0.82,0.87,None,None,Low,Yes,5
24766891,Student_0024,Module4,Programme2,Year1,Week10,Tue,Test1,73.3,0.72,1.0,None,None,Low,Yes,6
23327069,Student_0025,Module3,Programme2,Year1,Week10,Thu,,,0.92,0.91,None,None,Low,Yes,6
24825573,Student_0026,Module4,Programme2,Year1,Week8,Fri,Assignment2,34.9,0.88,0.74,Assessment Failure_007,Counselling,High,No,6
24247617,Student_0027,Module3,Programme2,Year1,Week4,Wed,,,0.89,0.6,Canvas Activity_007,Mentorship,Medium,Yes,6
23791743,Student_0028,Module5,Programme3,Year1,Week4,Wed,,,0.74,1.0,None,None,Low,No,7
23103355,Student_0029,Module3,Programme2,Year1,Week4,Wed,,,0.5,0.61,Class Attendance_007,Email Reminder,Medium,No,6
24284372,Student_0030,Module3,Programme2,Year1,Week6,Thu,,,0.98,1.0,None,None,Low,No,6
24262752,Student_0031,Module5,Programme3,Year1,Week7,Mon,,,0.75,0.73,None,None,Low,Yes,7
23184779,Student_0032,Module3,Programme2,Year1,Week6,Mon,Assignment2,51.0,0.69,1.0,Class Attendance_007,Mentorship,Medium,Yes,6
24396025,Student_0033,Module1,Programme1,Year2,Week1,Tue,Test2,82.1,0.92,0.9,None,None,Low,Yes,5
